Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"CS201 Fashion Sports IP68 Waterproof Smart Bluetooth Watch, Support","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0740B.jpg","Wearables","","1. Long battery life of 10 days, low power consumption 2. 24-hour tracking of blood oxygen concentration 3. Autonomous heart health management 4. IP68...","https://luxtronics.in/product/wearables-cs201-fashion-sports-ip68-waterproof-2558","","cs201 fashion sports ip68 waterproof smart bluetooth watch, support, ca0740, wearables, luxtronics, online shopping"
"KC06 Women Menstrual Period Smart Watch Bracelet, Blood Pressure CA0834","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0834S.jpg","Smartphones","","Features 1. Basic function: - Time and date display, step counting, calorie, distance, stopwatch, countdown, female physiological cycle reminder - Heart...","https://luxtronics.in/product/smartphones-kc06-women-menstrual-period-smart-2578","","kc06 women menstrual period smart watch bracelet, blood pressure /, ca0834, smartphones, luxtronics, online shopping"
"KC06 Women Menstrual Period Smart Watch Bracelet, Blood Pressure CA0835","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0835J.jpg","Smartphones","","Features 1. Basic function: - Time and date display, step counting, calorie, distance, stopwatch, countdown, female physiological cycle reminder - Heart...","https://luxtronics.in/product/smartphones-kc06-women-menstrual-period-smart-2594","","kc06 women menstrual period smart watch bracelet, blood pressure /, ca0835, smartphones, luxtronics, online shopping"
"DM60 1.83 inch Waterproof Smart Watch, Support Body Temperature","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0837B.jpg","Audio","","1. 1.83-inch high-definition full-touch large color screen, resolution 240X280 pixels; 2. ABS case (passed 72-hour salt spray test), 22mm replaceable...","https://luxtronics.in/product/audio-dm60-83-waterproof-smart-watch-1845","","dm60 1.83 inch waterproof smart watch, support body temperature, ca0837, audio, luxtronics, online shopping"
"SE02 Bluetooth Smart Sports Watch, Support Heart Rate / Blood Pressure","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA6739B.jpg","Wearables","","1. 1.54 inch high-definition color screen + 2.5D touch arc screen 2. 240x240IPS pixels 3. All-weather automatic heart rate monitoring 4. Using a heart...","https://luxtronics.in/product/wearables-se02-bluetooth-smart-sports-watch-1860","","se02 bluetooth smart sports watch, support heart rate / blood pressure, ca6739, wearables, luxtronics, online shopping"
"D99+ 1.22 inch HD LCD Screen GPS Smartwatch for the Elder Waterproof","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0351CJ.jpg","Smartphones","","Function: 1. GPS+LBS+WiFi positioning. 2. Familiarity number dialing two-way conversation and voice monitoring. 3. Support One-key first-aid. 4. Wrist off...","https://luxtronics.in/product/smartphones-d99-22-hd-lcd-screen-1935","","d99+ 1.22 inch hd lcd screen gps smartwatch for the elder waterproof, ca0351, smartphones, luxtronics, online shopping"
"P3 1.3 inch IPS Color Screen IP68 Waterproof Smart Watch Wristband","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA8114B.jpg","Smartphones","","1. System requirements: Android 4.4 and above, IOS 9.0 or above, support for Bluetooth 4.0 2. Memory: 64M 3. Screen display: 1.3 inch IPS color 4. Battery...","https://luxtronics.in/product/smartphones-p3-ips-screen-ip68-waterproof-1948","","p3 1.3 inch ips color screen ip68 waterproof smart watch wristband, ca8114, smartphones, luxtronics, online shopping"
"T900 PRO MAX L BIG 1.92 inch Large Screen Waterproof Smart Watch","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0831B.jpg","Smartphones","","Features 1. Stainless steel bright shell 2. Ultra low power chip 3. IP67 waterproof, soak in water (no use in water) 4. 1.92 high definition screen 5....","https://luxtronics.in/product/smartphones-t900-pro-max-big-92-1991","","t900 pro max l big 1.92 inch large screen waterproof smart watch, ca0831, smartphones, luxtronics, online shopping"
"SMA-Round 1.28 inch Color Touch Screen Bluetooth Smart Watch, Waterproof","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA0108A.jpg","Wearables","","1. All day activity tracking: accurately record all day activities like distances, steps, calories burned. 2. Receive call, calendar, SMS and SNS... Explore","https://luxtronics.in/product/wearables-sma-round-28-touch-screen-2024","","sma-round 1.28 inch color touch screen bluetooth smart watch, waterproof, ca0108, wearables, luxtronics, online shopping"
"S28 1.14 inch TFT Color Screen IPX67 Waterproof Bluetooth Smartwatch","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/CA5230B.jpg","Wearables","","1. Bluetooth version: BLE 4.0 2. Screen display: color screen bracelet (1.14 inch TFT LCD. resolution 135*240) 3. Battery capacity: 140 mAh 4. Standby...","https://luxtronics.in/product/wearables-s28-14-tft-screen-ipx67-2046","","s28 1.14 inch tft color screen ipx67 waterproof bluetooth smartwatch, ca5230, wearables, luxtronics, online shopping"
